Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Resp_Bloque1.keys,Resp_Bloque1.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
0.25,Stim\\03_028.jpg,Tr28_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr28,28,,,,,0,0,0,0,,,,,,,,,4,0.950079990004,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\05_075.jpg,En75_12,Enojo,12,Ana compra el libro.,Afirmación,En75,75,,,,,0,1,1,1,,,,,,,,,2,2.49972622668,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\02_078.jpg,Al78_11,Alegría,11,María asiste a la cena.,Afirmación,Al78,78,,,,,0,2,2,2,,,,,,,,,3,0.85080581283,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\02_078.jpg,Al78_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al78,78,,,,,0,3,3,3,,,,,,,,,3,0.500388459127,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\05_028.jpg,En28_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En28,28,,,,,0,4,4,4,,,,,,,,,3,0.850421593062,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\02_019.jpg,Al19_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al19,19,,,,,0,5,5,5,,,,,,,,,3,0.600457404486,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\05_078.jpg,En78_1,Enojo,1,Juan colecciona monedas antiguas.,Afirmación,En78,78,,,,,0,6,6,6,,,,,,,,,2,1.00002989863,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\02_078.jpg,Al78_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al78,78,,,,,0,7,7,7,,,,,,,,,3,0.449679482174,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\02_075.jpg,Al75_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al75,75,,,,,0,8,8,8,,,,,,,,,3,0.800401177203,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\02_075.jpg,Al75_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al75,75,,,,,0,9,9,9,,,,,,,,,3,0.550497232145,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\05_075.jpg,En75_12,Enojo,12,Ana compra el libro.,Afirmación,En75,75,,,,,0,10,10,10,,,,,,,,,2,1.56683705913,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\03_078.jpg,Tr78_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr78,78,,,,,0,11,11,11,,,,,,,,,4,0.717006745043,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\03_078.jpg,Tr78_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr78,78,,,,,0,12,12,12,,,,,,,,,4,1.81675082165,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\03_078.jpg,Tr78_5,Tristeza,5,Emilio revisa el formato del archivo.,Afirmación,Tr78,78,,,,,0,13,13,13,,,,,,,,,4,0.849837007816,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\02_019.jpg,Al19_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al19,19,,,,,0,14,14,14,,,,,,,,,3,0.484282912484,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\03_075.jpg,Tr75_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr75,75,,,,,0,15,15,15,,,,,,,,,4,0.600538621673,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
2.5,Stim\\03_075.jpg,Tr75_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr75,75,,,,,0,16,16,16,,,,,,,,,3,0.551060843722,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\03_028.jpg,Tr28_5,Tristeza,5,Emilio revisa el formato del archivo.,Afirmación,Tr28,28,,,,,0,17,17,17,,,,,,,,,4,3.31608925858,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
0.25,Stim\\05_075.jpg,En75_11,Enojo,11,María asiste a la cena.,Afirmación,En75,75,,,,,0,18,18,18,,,,,,,,,2,1.46682210982,,,,,2018_may._08_1811,60.0468122393,Experimento Piloto1,001,113,
