Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,date,frameRate,expName,session,participant,
2.5,Stim\\05_028.jpg,En28_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En28,28,,,,,0,0,0,0,,,,,,,,,1,6.79832755145,2,0.850334641435,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
2.5,Stim\\05_028.jpg,En28_29,Enojo,29,Miriam mira la película.,Afirmación,En28,28,,,,,0,1,1,1,,,,,,,,,1,2.77395660505,2,2.13306136,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
0.25,Stim\\03_028.jpg,Tr28_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr28,28,,,,,0,2,2,2,,,,,,,,,1,1.89989272196,4,0.966742469342,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
2.5,Stim\\02_075.jpg,Al75_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,3.68392739365,3,0.850223971911,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
2.5,Stim\\05_019.jpg,En19_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En19,19,,,,,0,4,4,4,,,,,,,,,1,5.99474319762,2,7.21484792312,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
2.5,Stim\\02_028.jpg,Al28_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al28,28,,,,,0,5,5,5,,,,,,,,,1,0.833511981315,3,2.08314047979,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
0.25,Stim\\05_075.jpg,En75_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En75,75,,,,,0,6,6,6,,,,,,,,,1,2.78995549122,2,1.63333937256,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
2.5,Stim\\03_078.jpg,Tr78_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr78,78,,,,,0,7,7,7,,,,,,,,,1,2.34804583503,4,1.68331291005,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
0.25,Stim\\05_075.jpg,En75_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En75,75,,,,,0,8,8,8,,,,,,,,,1,2.084194964,2,1.88315306398,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
0.25,Stim\\02_078.jpg,Al78_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al78,78,,,,,0,9,9,9,,,,,,,,,1,1.09944638463,3,0.550421124313,,,,,,,,,2018_may._25_1529,60.0116225511,Experimento Piloto1,001,127,
